imageURN, textURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.1,0.075,0.391,0.0593", page 301
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.07,0.1395,0.535,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.057,0.1358,0.126,0.0758", big letter O
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.049,0.1928,0.615,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.055,0.2551,0.65,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.161,0.3121,0.6,0.0473",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.076,0.3616,0.63,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.07,0.3496,0.123,0.1005", big letter S
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.059,0.4374,0.651,0.0495",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.294,0.4899,0.411,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.051,0.5401,0.647,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.045,0.4936,0.312,0.2761", Giant letter B
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.047,0.6032,0.595,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.05,0.6617,0.654,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.285,0.7322,0.407,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_301@0.137,0.7824,0.571,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.362,0.051,0.573,0.0788", page 302
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.333,0.129,0.597,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.278,0.1913,0.662,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.279,0.2431,0.633,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.329,0.3008,0.57,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.34,0.3548,0.617,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.906,0.2011,0.061,0.2236", neumes from previous line
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.255,0.4231,0.702,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.334,0.4846,0.618,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.328,0.5476,0.617,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.325,0.6114,0.617,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_302@0.246,0.6692,0.567,0.0788",
